year,Source,Sex,age,weight
2008,LL survey,Male,17,3.5
2009,LL survey,Male,17,3.1
2010,LL survey,Male,17,2.9
2011,LL survey,Male,17,3
2012,LL survey,Male,17,2.6
2013,LL survey,Male,17,2.9
2014,LL survey,Male,17,3
2015,LL survey,Male,17,3.1
2016,LL survey,Male,17,3.1
2017,LL survey,Male,17,2.9
2005,LL fishery,Male,17,3.1
2006,LL fishery,Male,17,2.9
2007,LL fishery,Male,17,3.1
2008,LL fishery,Male,17,2.8
2009,LL fishery,Male,17,3.1
2010,LL fishery,Male,17,3
2011,LL fishery,Male,17,3.1
2012,LL fishery,Male,17,3.2
2013,LL fishery,Male,17,3
2014,LL fishery,Male,17,3.4
2015,LL fishery,Male,17,3.9
2016,LL fishery,Male,17,3.6
2017,LL fishery,Male,17,3.7
2005,LL survey,Female,18,4.7
2006,LL survey,Female,18,3.8
2007,LL survey,Female,18,4.4
2008,LL survey,Female,18,4.7
2009,LL survey,Female,18,3.6
2010,LL survey,Female,18,4
2011,LL survey,Female,18,4.1
2012,LL survey,Female,18,4.3
2013,LL survey,Female,18,3.5
2014,LL survey,Female,18,5.2
2015,LL survey,Female,18,4.1
2016,LL survey,Female,18,4.9
2017,LL survey,Female,18,5.1
2005,LL fishery,Female,18,5.4
2006,LL fishery,Female,18,6.2
2007,LL fishery,Female,18,5.1
2008,LL fishery,Female,18,5.5
2009,LL fishery,Female,18,4.6
2010,LL fishery,Female,18,4.4
2011,LL fishery,Female,18,4.4
2012,LL fishery,Female,18,4.5
2013,LL fishery,Female,18,5.4
2014,LL fishery,Female,18,5.5
2015,LL fishery,Female,18,5.2
2016,LL fishery,Female,18,6
2017,LL fishery,Female,18,6.5
2005,LL survey,Male,18,3
2006,LL survey,Male,18,2.8
2007,LL survey,Male,18,3
2008,LL survey,Male,18,2.8
2009,LL survey,Male,18,2.2
2010,LL survey,Male,18,3.4
2011,LL survey,Male,18,2.8
2012,LL survey,Male,18,2.9
2013,LL survey,Male,18,2.8
2014,LL survey,Male,18,3.2
2015,LL survey,Male,18,3.1
2016,LL survey,Male,18,4.2
2017,LL survey,Male,18,3.4
2005,LL fishery,Male,18,3.3
2006,LL fishery,Male,18,3.6
2007,LL fishery,Male,18,3.3
2008,LL fishery,Male,18,3.4
2009,LL fishery,Male,18,3.1
2010,LL fishery,Male,18,2.9
2011,LL fishery,Male,18,3.7
2012,LL fishery,Male,18,3
2013,LL fishery,Male,18,2.8
2014,LL fishery,Male,18,3.3
2015,LL fishery,Male,18,3.8
2016,LL fishery,Male,18,3.5
2017,LL fishery,Male,18,3.6
2005,LL survey,Female,19,5.5
2006,LL survey,Female,19,6
2007,LL survey,Female,19,5.3
2008,LL survey,Female,19,5.5
2009,LL survey,Female,19,4.5
2010,LL survey,Female,19,5.1
2011,LL survey,Female,19,5.5
2012,LL survey,Female,19,4.8
2013,LL survey,Female,19,4.9
2014,LL survey,Female,19,5.4
2015,LL survey,Female,19,5
2016,LL survey,Female,19,5.5
2017,LL survey,Female,19,4.8
2005,LL fishery,Female,19,6
2006,LL fishery,Female,19,5.9
2007,LL fishery,Female,19,5.2
2008,LL fishery,Female,19,5.5
2009,LL fishery,Female,19,4.4
2010,LL fishery,Female,19,4.8
2011,LL fishery,Female,19,4.7
2012,LL fishery,Female,19,4.9
2013,LL fishery,Female,19,4.9
2014,LL fishery,Female,19,5.9
2015,LL fishery,Female,19,5.7
2016,LL fishery,Female,19,5.6
2017,LL fishery,Female,19,5.5
2005,LL survey,Male,19,3.6
2006,LL survey,Male,19,3.1
2007,LL survey,Male,19,2.8
2008,LL survey,Male,19,2.8
2009,LL survey,Male,19,2.9
2010,LL survey,Male,19,3
2011,LL survey,Male,19,2.6
2012,LL survey,Male,19,3
2013,LL survey,Male,19,2.8499999999999996
2014,LL survey,Male,19,2.8
2015,LL survey,Male,19,4.1
2016,LL survey,Male,19,3.5
2017,LL survey,Male,19,3
2005,LL fishery,Male,19,3.4
2006,LL fishery,Male,19,3.3
2007,LL fishery,Male,19,3.3
2008,LL fishery,Male,19,3.5
2009,LL fishery,Male,19,3.2
2010,LL fishery,Male,19,2.9
2011,LL fishery,Male,19,3.3
2012,LL fishery,Male,19,3.1
2013,LL fishery,Male,19,2.9
2014,LL fishery,Male,19,3.6
2015,LL fishery,Male,19,3.6
2016,LL fishery,Male,19,3.7
2017,LL fishery,Male,19,3.6
2005,LL survey,Female,20,5.6
2006,LL survey,Female,20,6.4
2007,LL survey,Female,20,5
2008,LL survey,Female,20,5.6
2009,LL survey,Female,20,4
2010,LL survey,Female,20,4.4
2011,LL survey,Female,20,4.4
2012,LL survey,Female,20,5
2013,LL survey,Female,20,4.1
2014,LL survey,Female,20,4.7
2015,LL survey,Female,20,5.4
2016,LL survey,Female,20,5.4
2017,LL survey,Female,20,6.1
2005,LL fishery,Female,20,6.4
2006,LL fishery,Female,20,5.6
2007,LL fishery,Female,20,4.9
2008,LL fishery,Female,20,5.3
2009,LL fishery,Female,20,4.9
2010,LL fishery,Female,20,5.2
2011,LL fishery,Female,20,4.8
2012,LL fishery,Female,20,4.9
2013,LL fishery,Female,20,5.6
2014,LL fishery,Female,20,5.1
2015,LL fishery,Female,20,5.5
2016,LL fishery,Female,20,5.8
2017,LL fishery,Female,20,5.8
2005,LL survey,Male,20,3.6
2006,LL survey,Male,20,3.2
2007,LL survey,Male,20,3.6
2008,LL survey,Male,20,3.6
2009,LL survey,Male,20,3.4
2010,LL survey,Male,20,2.9
2011,LL survey,Male,20,3
2012,LL survey,Male,20,3.1
2013,LL survey,Male,20,2.9
2014,LL survey,Male,20,3.9
2015,LL survey,Male,20,3.2
2016,LL survey,Male,20,3.1
2017,LL survey,Male,20,3.7
2005,LL fishery,Male,20,3.8
2006,LL fishery,Male,20,3.3
2007,LL fishery,Male,20,3.5
2008,LL fishery,Male,20,3
2009,LL fishery,Male,20,3.2
2010,LL fishery,Male,20,3.2
2011,LL fishery,Male,20,3.2
2012,LL fishery,Male,20,3.3
2013,LL fishery,Male,20,3.2
2014,LL fishery,Male,20,3.3
2015,LL fishery,Male,20,3.6
2016,LL fishery,Male,20,3.5
2017,LL fishery,Male,20,3.5
2005,LL survey,Female,21,4.7
2006,LL survey,Female,21,6.1
2007,LL survey,Female,21,4.4
2008,LL survey,Female,21,6
2009,LL survey,Female,21,4.1
2010,LL survey,Female,21,5.8
2011,LL survey,Female,21,5.3
2012,LL survey,Female,21,5.6
2013,LL survey,Female,21,5.9
2014,LL survey,Female,21,3.8
2015,LL survey,Female,21,5.8
2016,LL survey,Female,21,4.6
2017,LL survey,Female,21,5.9
2005,LL fishery,Female,21,6.5
2006,LL fishery,Female,21,5.9
2007,LL fishery,Female,21,6.7
2008,LL fishery,Female,21,5.5
2009,LL fishery,Female,21,4.5
2010,LL fishery,Female,21,5.4
2011,LL fishery,Female,21,5.2
2012,LL fishery,Female,21,5.2
2013,LL fishery,Female,21,5.6
2014,LL fishery,Female,21,5.7
2015,LL fishery,Female,21,5.6
2016,LL fishery,Female,21,5.9
2017,LL fishery,Female,21,5.3
2005,LL survey,Male,21,3
2006,LL survey,Male,21,3
2007,LL survey,Male,21,3.2
2008,LL survey,Male,21,3.1
2009,LL survey,Male,21,2.6
2010,LL survey,Male,21,3.1
2011,LL survey,Male,21,3.1
2012,LL survey,Male,21,2.7
2013,LL survey,Male,21,3.7
2014,LL survey,Male,21,3
2015,LL survey,Male,21,3.5
2016,LL survey,Male,21,3.7
2017,LL survey,Male,21,3.2
2005,LL fishery,Male,21,3.6
2006,LL fishery,Male,21,3.4
2007,LL fishery,Male,21,3.1
2008,LL fishery,Male,21,3.6
2009,LL fishery,Male,21,3.4
2010,LL fishery,Male,21,3.3
2011,LL fishery,Male,21,3.2
2012,LL fishery,Male,21,3.2
2013,LL fishery,Male,21,3.1
2014,LL fishery,Male,21,3.2
2015,LL fishery,Male,21,4
2016,LL fishery,Male,21,3.5
2017,LL fishery,Male,21,3.7
2005,LL survey,Female,22,7.1
2006,LL survey,Female,22,5.9
2007,LL survey,Female,22,4.4
2008,LL survey,Female,22,4.9
2009,LL survey,Female,22,5
2010,LL survey,Female,22,5.5
2011,LL survey,Female,22,3.6
2012,LL survey,Female,22,3.4
2013,LL survey,Female,22,5.7
2014,LL survey,Female,22,5.2
2015,LL survey,Female,22,4.8
2016,LL survey,Female,22,5.7
2017,LL survey,Female,22,5.2
2005,LL fishery,Female,22,6.8
2006,LL fishery,Female,22,5.9
2007,LL fishery,Female,22,5.3
2008,LL fishery,Female,22,6.1
2009,LL fishery,Female,22,4.8
2010,LL fishery,Female,22,4.6
2011,LL fishery,Female,22,5.3
2012,LL fishery,Female,22,5.4
2013,LL fishery,Female,22,5
2014,LL fishery,Female,22,5.9
2015,LL fishery,Female,22,5.8
2016,LL fishery,Female,22,6.3
2017,LL fishery,Female,22,6
2005,LL survey,Male,22,3.2
2006,LL survey,Male,22,3.4
2007,LL survey,Male,22,4.6
2008,LL survey,Male,22,3.2
2009,LL survey,Male,22,3.2
2010,LL survey,Male,22,3.2
2011,LL survey,Male,22,2.9
2012,LL survey,Male,22,2.4
2013,LL survey,Male,22,3.25
2014,LL survey,Male,22,3.1
2015,LL survey,Male,22,4.8
2016,LL survey,Male,22,3.3
2017,LL survey,Male,22,2.9
2005,LL fishery,Male,22,4
2006,LL fishery,Male,22,3.5
2007,LL fishery,Male,22,3.6
2008,LL fishery,Male,22,3.7
2009,LL fishery,Male,22,3.8
2010,LL fishery,Male,22,3.4
2011,LL fishery,Male,22,3.5
2012,LL fishery,Male,22,3.6
2013,LL fishery,Male,22,3
2014,LL fishery,Male,22,3.6
2015,LL fishery,Male,22,3.7
2016,LL fishery,Male,22,3.8
2017,LL fishery,Male,22,3.5
2005,LL survey,Female,23,7.6
2006,LL survey,Female,23,5.3
2007,LL survey,Female,23,7.6
2008,LL survey,Female,23,4.95
2009,LL survey,Female,23,3.9
2010,LL survey,Female,23,4.3
2011,LL survey,Female,23,5.1
2012,LL survey,Female,23,4.85
2013,LL survey,Female,23,5.8
2014,LL survey,Female,23,5.6
2015,LL survey,Female,23,5.3
2016,LL survey,Female,23,6
2017,LL survey,Female,23,4.3
2005,LL fishery,Female,23,6.6
2006,LL fishery,Female,23,6.4
2007,LL fishery,Female,23,6.2
2008,LL fishery,Female,23,6
2009,LL fishery,Female,23,5.4
2010,LL fishery,Female,23,5.7
2011,LL fishery,Female,23,4.6
2012,LL fishery,Female,23,5.9
2013,LL fishery,Female,23,5.2
2014,LL fishery,Female,23,5.8
2015,LL fishery,Female,23,6.3
2016,LL fishery,Female,23,6.5
2017,LL fishery,Female,23,6.6
2005,LL survey,Male,23,3.1
2006,LL survey,Male,23,3.3
2007,LL survey,Male,23,3.2
2008,LL survey,Male,23,3.3
2009,LL survey,Male,23,3.4
2010,LL survey,Male,23,3.3
2011,LL survey,Male,23,2.8
2012,LL survey,Male,23,3.3
2013,LL survey,Male,23,2.8
2014,LL survey,Male,23,3.6
2015,LL survey,Male,23,3.4
2016,LL survey,Male,23,3.5
2017,LL survey,Male,23,4.2
2005,LL fishery,Male,23,3.6
2006,LL fishery,Male,23,3.6
2007,LL fishery,Male,23,3.6
2008,LL fishery,Male,23,3.6
2009,LL fishery,Male,23,3.6
2010,LL fishery,Male,23,3.1
2011,LL fishery,Male,23,3.4
2012,LL fishery,Male,23,3.3
2013,LL fishery,Male,23,3.1
2014,LL fishery,Male,23,3.7
2015,LL fishery,Male,23,3.5
2016,LL fishery,Male,23,3.6
2017,LL fishery,Male,23,3.8
2005,LL survey,Female,24,5.1
2006,LL survey,Female,24,9
2007,LL survey,Female,24,6.4
2008,LL survey,Female,24,5
2009,LL survey,Female,24,4.8
2010,LL survey,Female,24,5.2
2011,LL survey,Female,24,3.6
2012,LL survey,Female,24,6.3
2013,LL survey,Female,24,6.6
2014,LL survey,Female,24,6.9
2015,LL survey,Female,24,6
2016,LL survey,Female,24,4.3
2017,LL survey,Female,24,6.5
2005,LL fishery,Female,24,6.3
2006,LL fishery,Female,24,5.1
2007,LL fishery,Female,24,6.2
2008,LL fishery,Female,24,5.9
2009,LL fishery,Female,24,5.5
2010,LL fishery,Female,24,5.3
2011,LL fishery,Female,24,5.4
2012,LL fishery,Female,24,6.7
2013,LL fishery,Female,24,7.4
2014,LL fishery,Female,24,5.3
2015,LL fishery,Female,24,6.7
2016,LL fishery,Female,24,5.7
2017,LL fishery,Female,24,7
2005,LL survey,Male,24,2.9
2006,LL survey,Male,24,3.2
2007,LL survey,Male,24,3.2
2008,LL survey,Male,24,2.7
2009,LL survey,Male,24,3.7
2010,LL survey,Male,24,3.2
2011,LL survey,Male,24,2.9
2012,LL survey,Male,24,3.1
2013,LL survey,Male,24,3.4
2014,LL survey,Male,24,3.1
2015,LL survey,Male,24,3
2016,LL survey,Male,24,3.3
2017,LL survey,Male,24,3.5
2005,LL fishery,Male,24,3.4
2006,LL fishery,Male,24,3.3
2007,LL fishery,Male,24,3.5
2008,LL fishery,Male,24,3.4
2009,LL fishery,Male,24,3.1
2010,LL fishery,Male,24,3.3
2011,LL fishery,Male,24,3.6
2012,LL fishery,Male,24,3.4
2013,LL fishery,Male,24,2.9
2014,LL fishery,Male,24,3.5
2015,LL fishery,Male,24,3.3
2016,LL fishery,Male,24,3.6
2017,LL fishery,Male,24,3.8
2005,LL survey,Female,25,7.5
2006,LL survey,Female,25,4.4
2007,LL survey,Female,25,7.8
2008,LL survey,Female,25,4.5
2009,LL survey,Female,25,5
2010,LL survey,Female,25,7
2011,LL survey,Female,25,4.5
2012,LL survey,Female,25,6.9
2013,LL survey,Female,25,5.2
2014,LL survey,Female,25,4.2
2015,LL survey,Female,25,5.1
2016,LL survey,Female,25,6
2017,LL survey,Female,25,8.8
2005,LL fishery,Female,25,5.7
2006,LL fishery,Female,25,5.7
2007,LL fishery,Female,25,6.4
2008,LL fishery,Female,25,5.5
2009,LL fishery,Female,25,5.8
2010,LL fishery,Female,25,7.1
2011,LL fishery,Female,25,5.6
2012,LL fishery,Female,25,5.2
2013,LL fishery,Female,25,5
2014,LL fishery,Female,25,7.7
2015,LL fishery,Female,25,6.6
2016,LL fishery,Female,25,5.9
2017,LL fishery,Female,25,6.5
2005,LL survey,Male,25,3.2
2006,LL survey,Male,25,3.5
2007,LL survey,Male,25,3.7
2008,LL survey,Male,25,3.9
2009,LL survey,Male,25,4.2
2010,LL survey,Male,25,3
2011,LL survey,Male,25,3.3
2012,LL survey,Male,25,3.3
2013,LL survey,Male,25,3.5
2014,LL survey,Male,25,3.5
2015,LL survey,Male,25,3.5
2016,LL survey,Male,25,3.4
2017,LL survey,Male,25,3.05
2005,LL fishery,Male,25,3.8
2006,LL fishery,Male,25,3.7
2007,LL fishery,Male,25,3.6
2008,LL fishery,Male,25,3.6
2009,LL fishery,Male,25,3.6
2010,LL fishery,Male,25,4.4
2011,LL fishery,Male,25,3.7
2012,LL fishery,Male,25,3.6
2013,LL fishery,Male,25,3.1
2014,LL fishery,Male,25,3.6
2015,LL fishery,Male,25,3.4
2016,LL fishery,Male,25,3.5
2017,LL fishery,Male,25,3.9
2005,LL survey,Female,26,7.1
2006,LL survey,Female,26,6.6
2007,LL survey,Female,26,4.9
2008,LL survey,Female,26,5.9
2009,LL survey,Female,26,6
2010,LL survey,Female,26,6.4
2011,LL survey,Female,26,5.5
2012,LL survey,Female,26,6.3
2013,LL survey,Female,26,8.5
2014,LL survey,Female,26,4.6
2015,LL survey,Female,26,5.5
2016,LL survey,Female,26,4.6
2017,LL survey,Female,26,7.8
2005,LL fishery,Female,26,6.7
2006,LL fishery,Female,26,6.6
2007,LL fishery,Female,26,6.4
2008,LL fishery,Female,26,5.9
2009,LL fishery,Female,26,5.1
2010,LL fishery,Female,26,6.5
2011,LL fishery,Female,26,5.2
2012,LL fishery,Female,26,5.6
2013,LL fishery,Female,26,5.7
2014,LL fishery,Female,26,6.1
2015,LL fishery,Female,26,6.4
2016,LL fishery,Female,26,6.5
2017,LL fishery,Female,26,6.6
2005,LL survey,Male,26,3
2006,LL survey,Male,26,4
2007,LL survey,Male,26,3.3
2008,LL survey,Male,26,3.6
2009,LL survey,Male,26,2.9
2010,LL survey,Male,26,3.1
2011,LL survey,Male,26,3.6
2012,LL survey,Male,26,3
2013,LL survey,Male,26,3
2014,LL survey,Male,26,3.3
2015,LL survey,Male,26,3.55
2016,LL survey,Male,26,3.2
2017,LL survey,Male,26,2.6
2005,LL fishery,Male,26,4.1
2006,LL fishery,Male,26,3.6
2007,LL fishery,Male,26,3.5
2008,LL fishery,Male,26,3.3
2009,LL fishery,Male,26,4.1
2010,LL fishery,Male,26,3.8
2011,LL fishery,Male,26,3.7
2012,LL fishery,Male,26,3.8
2013,LL fishery,Male,26,3.4
2014,LL fishery,Male,26,3.6
2015,LL fishery,Male,26,3.9
2016,LL fishery,Male,26,4.2
2017,LL fishery,Male,26,4.1
2005,LL survey,Female,27,6.4
2006,LL survey,Female,27,4.6
2007,LL survey,Female,27,5.2
2008,LL survey,Female,27,5.9
2009,LL survey,Female,27,5.4
2010,LL survey,Female,27,8.3
2011,LL survey,Female,27,4.5
2012,LL survey,Female,27,5.699999999999999
2013,LL survey,Female,27,4.2
2014,LL survey,Female,27,6
2015,LL survey,Female,27,6.8
2016,LL survey,Female,27,5.4
2017,LL survey,Female,27,6.5
2005,LL fishery,Female,27,7
2006,LL fishery,Female,27,6
2007,LL fishery,Female,27,5.8
2008,LL fishery,Female,27,6.7
2009,LL fishery,Female,27,6
2010,LL fishery,Female,27,5.5
2011,LL fishery,Female,27,6.1
2012,LL fishery,Female,27,5.4
2013,LL fishery,Female,27,6.9
2014,LL fishery,Female,27,6.2
2015,LL fishery,Female,27,5.9
2016,LL fishery,Female,27,6.7
2017,LL fishery,Female,27,7.9
2005,LL survey,Male,27,3.3
2006,LL survey,Male,27,3.5
2007,LL survey,Male,27,4.1
2008,LL survey,Male,27,3.4
2009,LL survey,Male,27,3.5
2010,LL survey,Male,27,3.1
2011,LL survey,Male,27,3.6
2012,LL survey,Male,27,3.3
2013,LL survey,Male,27,2.9
2014,LL survey,Male,27,3.3
2015,LL survey,Male,27,3.6
2016,LL survey,Male,27,3.2
2017,LL survey,Male,27,3.3
2005,LL fishery,Male,27,4.6
2006,LL fishery,Male,27,3.7
2007,LL fishery,Male,27,3.4
2008,LL fishery,Male,27,4
2009,LL fishery,Male,27,3.7
2010,LL fishery,Male,27,3.5
2011,LL fishery,Male,27,3.3
2012,LL fishery,Male,27,3.6
2013,LL fishery,Male,27,3.4
2014,LL fishery,Male,27,3.8
2015,LL fishery,Male,27,3.8
2016,LL fishery,Male,27,3.5
2017,LL fishery,Male,27,3.7
2005,LL survey,Female,28,6.4
2006,LL survey,Female,28,6.5
2007,LL survey,Female,28,4.9
2008,LL survey,Female,28,6.8
2009,LL survey,Female,28,5.8
2010,LL survey,Female,28,5.4
2011,LL survey,Female,28,5.8
2012,LL survey,Female,28,5.1
2013,LL survey,Female,28,4.7
2014,LL survey,Female,28,5.25
2015,LL survey,Female,28,9.1
2016,LL survey,Female,28,5.733333333333333
2017,LL survey,Female,28,5.2
2005,LL fishery,Female,28,7
2006,LL fishery,Female,28,6
2007,LL fishery,Female,28,6.2
2008,LL fishery,Female,28,5.9
2009,LL fishery,Female,28,6.8
2010,LL fishery,Female,28,5.9
2011,LL fishery,Female,28,6.4
2012,LL fishery,Female,28,5.2
2013,LL fishery,Female,28,6.3
2014,LL fishery,Female,28,6.2
2015,LL fishery,Female,28,6.8
2016,LL fishery,Female,28,6.7
2017,LL fishery,Female,28,5.8
2005,LL survey,Male,28,3.3
2006,LL survey,Male,28,3.6
2007,LL survey,Male,28,3.6
2008,LL survey,Male,28,3.4
2009,LL survey,Male,28,3.5
2010,LL survey,Male,28,3.1
2011,LL survey,Male,28,2.8
2012,LL survey,Male,28,3.5
2013,LL survey,Male,28,2.8
2014,LL survey,Male,28,3.1
2015,LL survey,Male,28,4
2016,LL survey,Male,28,2.5
2017,LL survey,Male,28,3.5
2005,LL fishery,Male,28,3.9
2006,LL fishery,Male,28,3.3
2007,LL fishery,Male,28,4
2008,LL fishery,Male,28,3.4
2009,LL fishery,Male,28,3.7
2010,LL fishery,Male,28,3.9
2011,LL fishery,Male,28,3.7
2012,LL fishery,Male,28,3.1
2013,LL fishery,Male,28,3.5
2014,LL fishery,Male,28,3.5
2015,LL fishery,Male,28,4
2016,LL fishery,Male,28,3.7
2017,LL fishery,Male,28,3.7
2005,LL survey,Female,29,8.2
2006,LL survey,Female,29,5.9
2007,LL survey,Female,29,7.6
2008,LL survey,Female,29,6.4
2009,LL survey,Female,29,4.7
2010,LL survey,Female,29,7.1
2011,LL survey,Female,29,5
2012,LL survey,Female,29,2.9
2013,LL survey,Female,29,5.2
2014,LL survey,Female,29,4.5
2015,LL survey,Female,29,7.05
2016,LL survey,Female,29,6.066666666666667
2017,LL survey,Female,29,4.6
2005,LL fishery,Female,29,7.4
2006,LL fishery,Female,29,7.1
2007,LL fishery,Female,29,5.5
2008,LL fishery,Female,29,5.7
2009,LL fishery,Female,29,5.5
2010,LL fishery,Female,29,5.2
2011,LL fishery,Female,29,7.2
2012,LL fishery,Female,29,4.6
2013,LL fishery,Female,29,5.5
2014,LL fishery,Female,29,6.3
2015,LL fishery,Female,29,7.5
2016,LL fishery,Female,29,8.3
2017,LL fishery,Female,29,7.1
2005,LL survey,Male,29,3.2
2006,LL survey,Male,29,3.9
2007,LL survey,Male,29,3.5
2008,LL survey,Male,29,3.2
2009,LL survey,Male,29,3.5
2010,LL survey,Male,29,3.6
2011,LL survey,Male,29,3.4
2012,LL survey,Male,29,3.4
2013,LL survey,Male,29,3.1
2014,LL survey,Male,29,3.5
2015,LL survey,Male,29,3.4
2016,LL survey,Male,29,4.4
2017,LL survey,Male,29,3.55
2005,LL fishery,Male,29,3.3
2006,LL fishery,Male,29,3.9
2007,LL fishery,Male,29,3.7
2008,LL fishery,Male,29,3.5
2009,LL fishery,Male,29,3.6
2010,LL fishery,Male,29,3.7
2011,LL fishery,Male,29,3.8
2012,LL fishery,Male,29,3.3
2013,LL fishery,Male,29,3.6
2014,LL fishery,Male,29,3.6
2015,LL fishery,Male,29,4.2
2016,LL fishery,Male,29,3.5
2017,LL fishery,Male,29,3.7
2005,LL survey,Female,30,9.4
2006,LL survey,Female,30,6.7
2007,LL survey,Female,30,4.8
2008,LL survey,Female,30,7
2009,LL survey,Female,30,5.9
2010,LL survey,Female,30,4
2011,LL survey,Female,30,3.6
2012,LL survey,Female,30,4.7
2013,LL survey,Female,30,5.7
2014,LL survey,Female,30,9.1
2015,LL survey,Female,30,5
2016,LL survey,Female,30,6.4
2017,LL survey,Female,30,6.3
2005,LL fishery,Female,30,7.5
2006,LL fishery,Female,30,6.5
2007,LL fishery,Female,30,6.7
2008,LL fishery,Female,30,6.5
2009,LL fishery,Female,30,5.2
2010,LL fishery,Female,30,6.3
2011,LL fishery,Female,30,6.4
2012,LL fishery,Female,30,5.7
2013,LL fishery,Female,30,4.6
2014,LL fishery,Female,30,6.6
2015,LL fishery,Female,30,5.1
2016,LL fishery,Female,30,7
2017,LL fishery,Female,30,7.5
2005,LL survey,Male,30,3.8
2006,LL survey,Male,30,3
2007,LL survey,Male,30,3.3
2008,LL survey,Male,30,3.2
2009,LL survey,Male,30,4.1
2010,LL survey,Male,30,3.5
2011,LL survey,Male,30,3.8
2012,LL survey,Male,30,3.4
2013,LL survey,Male,30,2.5
2014,LL survey,Male,30,3.3
2015,LL survey,Male,30,4.2
2016,LL survey,Male,30,4.300000000000001
2017,LL survey,Male,30,3.6
2005,LL fishery,Male,30,4.1
2006,LL fishery,Male,30,3.8
2007,LL fishery,Male,30,3.7
2008,LL fishery,Male,30,3.8
2009,LL fishery,Male,30,3.6
2010,LL fishery,Male,30,3.8
2011,LL fishery,Male,30,3.5
2012,LL fishery,Male,30,3.5
2013,LL fishery,Male,30,3.2
2014,LL fishery,Male,30,3.6
2015,LL fishery,Male,30,3.7
2016,LL fishery,Male,30,3.8
2017,LL fishery,Male,30,3.9
2005,LL survey,Female,31,6.6
2006,LL survey,Female,31,6.6
2007,LL survey,Female,31,6
2008,LL survey,Female,31,6.8
2009,LL survey,Female,31,5.7
2010,LL survey,Female,31,4.6
2011,LL survey,Female,31,5.5
2012,LL survey,Female,31,5.25
2013,LL survey,Female,31,6.2
2014,LL survey,Female,31,6.85
2015,LL survey,Female,31,5.8
2016,LL survey,Female,31,7.55
2017,LL survey,Female,31,6.65
2005,LL fishery,Female,31,6.5
2006,LL fishery,Female,31,6.1
2007,LL fishery,Female,31,5.8
2008,LL fishery,Female,31,6.1
2009,LL fishery,Female,31,4.9
2010,LL fishery,Female,31,5.5
2011,LL fishery,Female,31,5.6
2012,LL fishery,Female,31,5.8
2013,LL fishery,Female,31,8.8
2014,LL fishery,Female,31,6.2
2015,LL fishery,Female,31,8.4
2016,LL fishery,Female,31,7.4
2017,LL fishery,Female,31,6.9
2005,LL survey,Male,31,3.2
2006,LL survey,Male,31,3.6
2007,LL survey,Male,31,3
2008,LL survey,Male,31,3.9
2009,LL survey,Male,31,3.5
2010,LL survey,Male,31,3.8
2011,LL survey,Male,31,3.1
2012,LL survey,Male,31,3.4
2013,LL survey,Male,31,3.5
2014,LL survey,Male,31,3.8
2015,LL survey,Male,31,3.9
2016,LL survey,Male,31,4.2
2017,LL survey,Male,31,3.8
2005,LL fishery,Male,31,3.5
2006,LL fishery,Male,31,3.7
2007,LL fishery,Male,31,3.9
2008,LL fishery,Male,31,3.9
2009,LL fishery,Male,31,4.1
2010,LL fishery,Male,31,3.6
2011,LL fishery,Male,31,3.6
2012,LL fishery,Male,31,3.7
2013,LL fishery,Male,31,3.1
2014,LL fishery,Male,31,3.2
2015,LL fishery,Male,31,4.3
2016,LL fishery,Male,31,3.7
2017,LL fishery,Male,31,3.6
2005,LL survey,Female,32,6.4
2006,LL survey,Female,32,7
2007,LL survey,Female,32,8.5
2008,LL survey,Female,32,7.1
2009,LL survey,Female,32,5.7
2010,LL survey,Female,32,5.6
2011,LL survey,Female,32,7.8
2012,LL survey,Female,32,5.8
2013,LL survey,Female,32,8.1
2014,LL survey,Female,32,4.6
2015,LL survey,Female,32,6.6
2016,LL survey,Female,32,8.7
2017,LL survey,Female,32,7
2005,LL fishery,Female,32,6.4
2006,LL fishery,Female,32,6.4
2007,LL fishery,Female,32,5.9
2008,LL fishery,Female,32,6.6
2009,LL fishery,Female,32,6.4
2010,LL fishery,Female,32,5.7
2011,LL fishery,Female,32,7
2012,LL fishery,Female,32,6.4
2013,LL fishery,Female,32,7.4
2014,LL fishery,Female,32,6.9
2015,LL fishery,Female,32,7
2016,LL fishery,Female,32,7
2017,LL fishery,Female,32,7.9
2005,LL survey,Male,32,4.1
2006,LL survey,Male,32,3.7
2007,LL survey,Male,32,3.6
2008,LL survey,Male,32,3.4
2009,LL survey,Male,32,3.6
2010,LL survey,Male,32,3.2
2011,LL survey,Male,32,3.1
2012,LL survey,Male,32,3.5
2013,LL survey,Male,32,3.5
2014,LL survey,Male,32,3
2015,LL survey,Male,32,4.25
2016,LL survey,Male,32,3.9
2017,LL survey,Male,32,4
2005,LL fishery,Male,32,3.5
2006,LL fishery,Male,32,3.8
2007,LL fishery,Male,32,3.9
2008,LL fishery,Male,32,4
2009,LL fishery,Male,32,3.8
2010,LL fishery,Male,32,4
2011,LL fishery,Male,32,3.8
2012,LL fishery,Male,32,3.9
2013,LL fishery,Male,32,3.4
2014,LL fishery,Male,32,3.5
2015,LL fishery,Male,32,3.8
2016,LL fishery,Male,32,3.6
2017,LL fishery,Male,32,4
2005,LL survey,Female,33,6.3
2006,LL survey,Female,33,6.7
2007,LL survey,Female,33,6.6
